A -132,-155,999
G 0.7,-4.4,-0.3
M 61,43,-846
A -130,-155,999
G 0.7,-4.4,-0.3
M 70,40,-832
A -130,-155,999
G 0.7,-4.3,-0.4
M 72,43,-834
A -131,-155,999
G 0.7,-4.3,-0.4
M 55,40,-832
A -130,-155,1001
G 0.9,-4.8,-0.3
M 61,45,-843
A 79,37,967
G 13.0,-15.5,10.7
M 58,34,-841
A -191,-426,850
G -67.0,-40.6,34.5
M 67,30,-829
A -237,-137,959
G 54.1,49.7,29.1
M 63,51,-838
A -216,-178,1011
G -37.8,-4.0,-2.1
M 70,49,-840
A -157,-177,917
G -8.4,7.1,-2.3
M 67,54,-832
A -179,-168,999
G -12.6,-10.9,-4.3
M 78,52,-843
A -171,-159,945
G 7.7,-26.1,1.3
M 66,55,-847
A -94,-135,938
G -14.9,-18.6,-4.9
M 79,40,-838
A -101,-118,962
G 11.8,-12.1,-11.3
M 66,37,-835
A -114,-137,950
G 0.7,10.9,0.1
M 52,55,-843
A -131,-113,908
G 105.2,19.2,45.9
M 57,61,-843
A -212,-128,1002
G 42.6,-12.3,-8.0
M 36,63,-841
A -106,125,1077
G 21.0,-23.3,-135.4
M 6,54,-832
A -200,17,1060
G -17.9,-73.4,-89.7
M -7,40,-829
A 15,-8,1213
G 33.4,-124.6,-86.7
M -19,27,-814
A 27,105,1369
G 31.7,-34.5,-103.1
M -49,6,-804
A 90,-1,1294
G 52.7,-27.5,-20.3
M -72,1,-784
A 53,-4,1233
G 42.2,1.8,-28.1
M -78,3,-789
A 132,74,1108
G 32.9,-92.6,36.6
M -67,-15,-775
A 210,52,1028
G 53.6,-74.9,45.2
M -78,-52,-762
A 258,79,992
G 50.8,-56.3,4.4
M -93,-82,-754
A 325,102,960
G 43.8,-47.6,-22.9
M -108,-97,-744
A 265,164,910
G 56.9,33.2,-52.1
M -141,-85,-747
A 270,242,862
G 17.0,-100.5,-91.7
M -175,-106,-724
A 241,482,811
G 43.1,-63.4,-94.5
M -205,-105,-703
A 281,498,782
G 14.1,-92.2,-47.6
M -244,-103,-672
A 254,484,654
G -39.1,-75.2,13.8
M -238,-114,-648
A 303,473,628
G -38.0,-5.9,-46.0
M -241,-106,-651
A 318,432,778
G -76.2,14.9,-10.7
M -235,-105,-661
A 369,382,800
G -51.4,34.7,-21.4
M -223,-102,-678
A 339,319,873
G -63.1,71.8,-14.7
M -204,-79,-717
A 224,301,905
G -26.0,14.9,-69.0
M -231,-58,-732
A 201,295,807
G -6.0,13.7,-0.2
M -226,-46,-747
A 139,282,965
G -24.2,44.1,-53.6
M -220,-34,-753
A 108,286,855
G -9.2,28.9,-34.7
M -237,-4,-756
A 120,203,949
G -36.1,25.5,-30.6
M -240,0,-777
A 40,220,937
G -33.7,42.5,-60.1
