Interval,10000,usec,,,,,,,,,,
pin0,pin1,pin2,pin3,,,,,,Offsets,,,
947,929,943,840,,-3,3,8,4,,,,
947,928,943,839,,-3,2,8,3,,,,
946,928,943,839,,-4,2,8,3,,,,
947,928,943,840,,-3,2,8,4,,,,
947,929,943,840,,-3,3,8,4,,,,
947,928,943,840,,-3,2,8,4,,,,
947,929,943,840,,-3,3,8,4,,,,
946,928,943,840,,-4,2,8,4,,,,
947,928,943,840,,-3,2,8,4,,,,
947,929,943,840,,-3,3,8,4,,,,
947,928,943,840,,-3,2,8,4,,,,
946,928,943,839,,-4,2,8,3,,,,
946,928,943,840,,-4,2,8,4,,,,
947,928,943,840,,-3,2,8,4,,,,
